ID,Title,"Tax Status"
8716,"Borealis Crown Band",none
8717,"Borealis Crown Band",none
8733,"Deep Chevron Diamond Band",taxable
8734,"Deep Chevron Diamond Band",none
8735,"Deep Chevron Diamond Band",none
8736,"Deep Chevron Diamond Band",none
8737,"Deep Chevron Diamond Band",none
8738,"Chevron Knife Edge Band",taxable
8739,"Chevron Knife Edge Band",none
8740,"Chevron Knife Edge Band",none
8741,"Chevron Knife Edge Band",none
8742,"Chevron Knife Edge Band",none
8748,"Comet Tail Band",taxable
8749,"Comet Tail Band",none
8750,"Comet Tail Band",none
8751,"Comet Tail Band",none
8752,"Comet Tail Band",none
8753,"Crescent Crown Diamond Eternity Band",taxable
8754,"Crescent Crown Diamond Eternity Band",none
8755,"Crescent Crown Diamond Eternity Band",none
8756,"Crescent Crown Diamond Eternity Band",none
8757,"Crescent Crown Diamond Eternity Band",none
8758,"Crescent Crown Half Diamond Eternity Band",taxable
8759,"Crescent Crown Half Diamond Eternity Band",none
8760,"Crescent Crown Half Diamond Eternity Band",none
8761,"Crescent Crown Half Diamond Eternity Band",none
8762,"Crescent Crown Half Diamond Eternity Band",none
8763,"Cressida Band",taxable
8764,"Cressida Band",none
8765,"Cressida Band",none
8766,"Cressida Band",none
8767,"Cressida Band",none
8774,"Wheat Band 6mm",taxable
8780,"Diadem Band",taxable
8781,"Diadem Band",none
8782,"Diadem Band",none
8783,"Diadem Band",none
8784,"Diadem Band",none
8817,"Hague Ring",taxable
8818,"Hague Ring",none
8819,"Hague Ring",none
8820,"Hague Ring",none
8821,"Hague Ring",none
8822,"June Ring",taxable
8823,"June Ring",none
8824,"June Ring",none
8825,"June Ring",none
8826,"June Ring",none
8844,"Neptune Band",taxable
8845,"Neptune Band",none
8846,"Neptune Band",none
8847,"Neptune Band",none
8848,"Neptune Band",none
8850,"Wheat Band 6mm",none
8862,"Orion Band",taxable
8879,"Petal Ring",taxable
8880,"Petal Ring",none
8881,"Petal Ring",none
8882,"Petal Ring",none
8883,"Petal Ring",none
8965,"Wheat Band 2mm",taxable
8966,"Wheat Band 2mm",none
8967,"Wheat Band 2mm",none
8968,"Wheat Band 2mm",none
8969,"Wheat Band 2mm",none
8970,"Wheat Band 2mm",none
8971,"Wheat Band 5mm",taxable
8972,"Wheat Band 5mm",none
8973,"Wheat Band 5mm",none
8974,"Wheat Band 5mm",none
8975,"Wheat Band 5mm",none
8976,"Wheat Band 5mm",none
8977,"Wheat Band 6mm",none
8978,"Wheat Band 6mm",none
8979,"Wheat Band 6mm",none
8980,"Wheat Band 6mm",none
8981,"Wheat Band 6mm",none
